communication_round,Loss,Accuracy,Time
1,0.8707385600374143,28.98,354.0380325317383
2,0.6261030956623126,41.82,293.9289803504944
3,0.46086109890850857,55.31,342.5711054801941
4,0.3256295573685838,60.16,258.02098536491394
5,0.30972223184078207,63.97,352.91747522354126
6,0.21741798049004388,64.8,246.25850653648376
7,0.21896511574784014,68.06,338.7230439186096
8,0.19605217047044973,71.35,305.6162955760956
9,0.15579301002345405,71.28,301.6122725009918
10,0.14882930926642243,72.11,271.5571355819702
11,0.12783718392574944,72.01,662.8556005954742
12,0.14822647724873517,70.56,622.5111865997314
13,0.10607064436922498,74.97,621.7887771129608
14,0.09708451276938079,73.56,671.0766701698303
15,0.10342779619158937,74.27,567.9828984737396
16,0.0863457303669172,75.14,662.9364817142487
17,0.07511834512533047,75.01,718.486163854599
18,0.08359636414251757,74.47,645.0759184360504
19,0.07534234617624545,69.77,600.3837840557098
20,0.06787813107469373,79.81,609.4435410499573
21,0.04693855419458505,74.03,684.4702875614166
22,0.0630083765708999,77.03,617.9353046417236
23,0.0634225961805516,73.9,642.7599794864655
24,0.0638883343374622,75.29,631.3164012432098
25,0.057037610685868746,79.15,654.6139223575592
26,0.06148844736515789,74.21,626.311829328537
27,0.04907320732391167,78.71,665.3251624107361
28,0.06065386300716121,81.18,612.7800507545471
29,0.047330273712524996,74.63,709.5365307331085
30,0.051711939492397295,77.55,622.1137957572937
31,0.05334077847682293,81.17,582.073566198349
32,0.04293051512212793,79.58,653.3825154304504
33,0.04366523053388323,70.02,667.4051923751831
34,0.040417573477387524,74.63,702.8656251430511
35,0.04730891561006083,78.41,677.114866733551
36,0.044855514071882895,78.18,672.573472738266
37,0.03384654631999998,79.54,674.3229827880859
38,0.03634121466266434,78.06,651.538717508316
39,0.03238813116683316,78.45,625.4708843231201
40,0.035029144208957926,80.68,645.4573976993561
41,0.03370090676747549,80.85,673.2668209075928
42,0.03426040968218068,80.2,637.1354839801788
43,0.03005624930069205,80.99,636.9553439617157
44,0.03323499377605749,74.09,634.3337163925171
45,0.027400642381812466,81.71,643.4647250175476
46,0.02663252405604368,77.91,632.4724192619324
47,0.031029045927089022,77.74,619.565593957901
48,0.027255031861476042,79.96,658.860612154007
49,0.03172844262641133,68.61,655.221018075943
50,0.0382342389853391,81.4,648.6566534042358
51,0.027959915708614825,73.05,634.3215339183807
52,0.02893545723573,75.45,699.1301259994507
53,0.030824428581499853,80.49,688.247172832489
54,0.02239609924918509,81.39,688.8493537902832
55,0.025770276723993357,78.2,647.309668302536
56,0.02417735277171626,80.93,657.9098575115204
57,0.027566815317140225,79.51,700.6871263980865
58,0.024810659946357932,75.25,648.1974425315857
59,0.020404675841563923,75.77,664.4634916782379
60,0.025849717616184487,83.01,642.9892992973328
61,0.022125585211196636,80.48,677.5369815826416
62,0.023438379919858403,79.02,641.0549719333649
63,0.021297817634473346,81.83,685.7887337207794
64,0.021898870906506763,83.72,653.3014950752258
65,0.02329618076031386,80.92,662.6807465553284
66,0.020941489882934834,80.05,637.1540238857269
67,0.024896099659928443,81.93,667.8334560394287
68,0.020290229848349172,77.96,615.3817150592804
69,0.015166220226984228,81.86,654.458979845047
70,0.017995829818187814,81.59,655.2481944561005
71,0.021738691018605392,81.5,646.25461602211
72,0.019617737887001666,82.87,634.0997614860535
