communication_round,Loss,Accuracy,Time
1,0.8707385600374143,28.98,319.2300479412079
2,0.6261030956623126,41.82,294.6296811103821
3,0.46086109890850857,55.31,293.05010890960693
4,0.32556062521498885,60.02,268.6240921020508
5,0.3090199054197503,63.14,319.96559882164
6,0.21787160159292718,64.31,254.8424048423767
7,0.2189615378635427,68.48,302.5675964355469
8,0.19659958172009154,71.19,297.48656487464905
9,0.15302658237761463,71.15,266.5944218635559
10,0.14779389417026106,71.35,261.79623579978943
11,0.12799652923399152,71.23,674.2928967475891
12,0.14833303851126273,71.09,695.3775839805603
13,0.10586613743562875,74.87,680.8271746635437
14,0.09661474605070644,73.26,744.0363826751709
15,0.10261641481010893,73.68,630.7674112319946
16,0.08612375718737497,75.78,704.943431854248
17,0.07452487839033224,75.21,794.1241374015808
18,0.0840208565608395,75.29,692.568372964859
19,0.07532801687410222,68.86,649.135559797287
20,0.06843712094087792,80.06,685.8781797885895
21,0.048050986211654066,74.09,731.0832574367523
22,0.06186800974410408,76.67,672.3264737129211
23,0.06324249543356805,73.83,695.2145369052887
24,0.06475545507815321,75.31,688.967306137085
25,0.055772395192308574,78.8,708.1630582809448
26,0.06337921896621287,74.68,667.7702870368958
27,0.0492674286550976,79.01,727.4267015457153
28,0.05935569509099782,81.77,665.9198350906372
29,0.047287469576947364,75.13,754.325113773346
30,0.051255713690616225,77.02,656.0936620235443
31,0.055090968728703824,81.84,646.74014544487
32,0.043964218751079254,80.05,701.045458316803
33,0.04386243032032723,69.84,698.3574421405792
34,0.04019432954769052,74.6,753.0467483997345
35,0.051199104931911266,77.92,686.4202225208282
36,0.045453869054771875,78.66,700.2392027378082
37,0.033019331402356245,80.76,733.4075036048889
38,0.035450770600485175,77.86,724.2843663692474
39,0.03199388155919119,78.51,672.364205121994
40,0.03496897669755561,80.55,691.923547744751
41,0.03393509745954965,80.98,718.5589108467102
42,0.03511811836962277,80.24,678.3921499252319
43,0.029316602206372954,81.5,702.8673162460327
44,0.03291731096710797,74.77,718.3093869686127
45,0.02759262749953369,81.44,711.1753132343292
46,0.026571322895988708,77.84,700.4443831443787
47,0.031456990877037225,77.54,711.4354825019836
48,0.026160110600088726,80.11,715.688649892807
49,0.03242566838277275,68.64,717.2799973487854
50,0.03757621225923895,82.09,682.6385793685913
51,0.02743580893881578,73.33,673.515410900116
52,0.029538019728502774,73.98,753.6081070899963
53,0.02979760918722175,81.21,731.8612351417542
54,0.02346635909358838,80.64,775.429844379425
55,0.027217177005434596,77.61,692.4154102802277
56,0.02515273872979787,81.23,745.9710209369659
57,0.025880878017259922,79.63,748.3866922855377
58,0.02471789233018127,76.23,678.6625907421112
59,0.020281240963486935,76.18,724.7627425193787
60,0.02570953723452906,83.28,703.6132400035858
61,0.02268377479019531,80.56,725.1679646968842
62,0.02269103444755087,79.17,727.4236845970154
63,0.023232426658132445,81.71,776.6933250427246
64,0.02070838057748641,84.3,681.8792948722839
65,0.022762449590918936,79.66,732.6149957180023
66,0.019869442095989537,79.79,676.2362184524536
67,0.02587689249416683,82.26,705.581045627594
68,0.020278343891301145,78.17,675.684225320816
69,0.01541603355298285,81.67,702.9279251098633
70,0.017773498102129876,81.59,684.4980359077454
71,0.02097919774028957,81.71,726.007196187973
72,0.018328092874337808,82.69,663.8012626171112
73,0.015528963136912485,84.82,703.3480496406555
74,0.01515123426570622,82.66,670.8017599582672
75,0.014972515200809,84.51,769.8458297252655
76,0.01629722369106419,73.74,723.0888454914093
77,0.018686359307059662,78.24,658.8760867118835
78,0.022349782417381843,83.32,620.9456152915955
79,0.016094934846582837,83.57,686.5552604198456
80,0.01696925417632884,81.2,648.4319968223572
81,0.015315008600717637,84.73,731.5816013813019
82,0.014284747987729721,80.12,685.5018548965454
83,0.02053401483927851,82.98,840.0702033042908
84,0.01687829270321963,75.74,946.1907756328583
85,0.0182185811632894,81.59,846.9326498508453
