communication_round,Loss,Accuracy,Time
1,0.8707385600374143,28.98,311.35861325263977
2,0.6261030956623126,41.82,295.6743907928467
3,0.46086109890850857,55.31,297.30592131614685
4,0.32556062521498885,60.02,248.87802624702454
5,0.3090199054197503,63.14,309.3605999946594
6,0.21787160159292718,64.31,247.35175919532776
7,0.2189615378635427,68.48,299.3582065105438
8,0.19659958172009154,71.19,295.9479331970215
9,0.15302658237761463,71.15,273.79277300834656
10,0.14779389417026106,71.35,355.6239218711853
11,0.12799652923399152,71.84,1040.8673582077026
12,0.14824641747753176,67.92,1101.8516585826874
13,0.10397518250519275,73.63,1021.5213143825531
14,0.0957787839783206,71.37,1144.225328207016
15,0.10296517200881472,71.02,960.7787425518036
16,0.08587802216840332,76.04,1130.8863925933838
17,0.07281236540803675,74.19,1121.751945734024
18,0.08242181058017803,72.31,1093.7500381469727
19,0.0734395939258087,61.36,1040.177883386612
20,0.07210723609889506,78.02,1037.1782739162445
21,0.04814969832707736,72.69,1088.4884722232819
22,0.060543525083909075,73.91,1037.7155780792236
23,0.06196460421120757,72.74,1043.7714622020721
24,0.062302493508940585,73.82,1078.4382095336914
25,0.05459976067105486,77.84,1091.3815400600433
26,0.06086846919841508,73.82,1030.820342540741
27,0.04795110858868133,78.83,1091.7593343257904
28,0.05698816662046924,80.89,823.7019219398499
29,0.04662218966719271,72.4,1122.1465854644775
30,0.0517652037424192,73.33,1045.9928414821625
31,0.0496736589064016,81.69,998.6249015331268
32,0.041340827411051426,79.29,1081.6495356559753
33,0.04270310390380268,69.51,1088.6997072696686
34,0.038960208305842355,71.21,1125.5325238704681
35,0.05055488796707228,75.69,1054.7357115745544
36,0.043749341301957075,76.95,1081.1470215320587
37,0.03168268576227811,78.05,1069.8586835861206
38,0.03525564154420097,76.2,1085.7240898609161
39,0.03143623173221711,78.88,1055.0028595924377
40,0.03297840037799611,80.32,1082.854451417923
41,0.031549416093360934,77.19,1060.9712219238281
42,0.03318391107071272,81.31,1063.8969066143036
43,0.026749929487001684,78.85,1029.9611716270447
44,0.030030757407317966,74.62,1078.899460554123
45,0.024561394740175824,81.98,1046.5827143192291
46,0.024561991603965445,77.01,1093.1789309978485
47,0.02899004382164011,72.9,1013.2282235622406
48,0.026286549396786242,79.06,1099.1659452915192
49,0.030990047863368658,61.3,1073.0415358543396
50,0.03689200148946663,77.82,1072.374572277069
51,0.027266396990431103,68.21,1065.03311085701
52,0.027535549081451106,71.02,1144.788492679596
53,0.029291539079725003,79.07,1104.711454629898
54,0.01993418930616121,79.75,1108.7790172100067
55,0.026193428230083738,76.01,1047.4789464473724
56,0.022786310056702123,78.39,1134.906412601471
57,0.026291298484501402,78.91,1246.5898072719574
58,0.024635553512780694,72.15,1403.8404486179352
59,0.018738349685761973,73.01,1434.1490032672882
60,0.02378871327953472,81.5,1393.5852372646332
61,0.022004354702962164,79.85,1225.780385017395
62,0.02217555048987518,78.09,1051.9145460128784
63,0.018715805833101333,81.56,1155.3849642276764
64,0.021739081832044625,83.14,1103.701577425003
65,0.01991923303496517,79.66,1098.8047859668732
66,0.01983400529110926,79.04,1091.3675651550293
67,0.024894421046341108,77.63,1086.6369743347168
68,0.019113241490963585,78.36,1070.2154326438904
69,0.014367672289957167,82.28,1054.3236510753632
70,0.01576424186380317,79.32,1135.7486701011658
71,0.020064024502599836,81.26,1059.7504444122314
72,0.016041267482563713,83.05,1110.9330468177795
73,0.012235961897360145,83.81,1067.9478323459625
74,0.014593520989983757,82.57,1081.6147215366364
75,0.01340691743463856,84.04,1165.1632480621338
76,0.013519294078750198,74.4,1079.8941807746887
77,0.016228768783064486,77.9,1053.8349714279175
78,0.02090223650277972,82.36,1019.5710303783417
79,0.014004632069475054,82.16,1034.5781002044678
80,0.016279999897335154,81.2,1060.4161760807037
81,0.013433414105893998,83.71,1088.406668663025
82,0.0128443732066565,79.93,1042.8024971485138
83,0.01839171290148164,80.85,1080.691475868225
84,0.016385913081696735,71.8,1125.6225152015686
85,0.016253999366721922,80.14,1062.1663916110992
