communication_round,Loss,Accuracy,Time
1,0.8707385600374143,28.98,274.2543451786041
2,0.6261030956623126,41.82,261.2197494506836
3,0.46086109890850857,55.31,274.5652914047241
4,0.32556062521498885,60.02,238.18735885620117
5,0.3090199054197503,63.14,280.5239963531494
6,0.21787160159292718,64.31,227.25251460075378
7,0.2189615378635427,68.48,278.3075587749481
8,0.19659958172009154,71.19,270.4957149028778
9,0.15302658237761463,71.15,256.8859419822693
10,0.14779389417026106,71.35,257.91243076324463
11,0.12799652923399152,71.84,983.038877248764
12,0.14824641747753176,67.92,1047.265457391739
13,0.10397518250519275,73.63,927.8737437725067
14,0.0957787839783206,71.37,1115.4128034114838
15,0.10296517200881472,71.02,1044.0449311733246
16,0.08587802216840332,76.04,929.4132573604584
17,0.07281236540803675,74.19,1109.4762573242188
18,0.08242181058017803,72.31,1069.55388879776
19,0.0734395939258087,61.36,891.8604810237885
20,0.07210723609889506,78.02,1029.881185054779
21,0.04814969832707736,72.69,1004.7623348236084
22,0.060543525083909075,73.91,887.8568758964539
23,0.06196460421120757,72.74,914.2289259433746
24,0.062302493508940585,73.82,1073.9126720428467
25,0.05459976067105486,77.84,936.3267900943756
26,0.06086846919841508,73.82,901.7479832172394
27,0.04795110858868133,78.83,919.4615707397461
28,0.05698816662046924,80.89,665.8799731731415
29,0.04662218966719271,72.4,968.385103225708
30,0.0517652037424192,73.33,916.7163817882538
31,0.0496736589064016,81.69,868.1566152572632
32,0.041340827411051426,79.29,907.683027267456
33,0.04270310390380268,69.51,923.6303009986877
34,0.038960208305842355,71.21,957.3271436691284
35,0.05055488796707228,75.69,932.3153448104858
36,0.043749341301957075,76.95,933.2844727039337
37,0.03168268576227811,78.05,903.3266818523407
38,0.03525564154420097,76.2,917.1244082450867
39,0.03143623173221711,78.88,917.2147915363312
40,0.03297840037799611,80.32,912.2009692192078
41,0.031549416093360934,77.19,946.7439966201782
42,0.03318391107071272,81.31,922.5373139381409
43,0.026749929487001684,78.85,887.0730113983154
44,0.030030757407317966,74.62,896.3610780239105
45,0.024561394740175824,81.98,898.773050069809
46,0.024561991603965445,77.01,936.1279728412628
47,0.02899004382164011,72.9,903.9332220554352
48,0.026286549396786242,79.06,922.4414675235748
49,0.030990047863368658,61.3,954.6577262878418
50,0.03689200148946663,77.82,926.7390727996826
51,0.027266396990431103,68.21,908.8234345912933
52,0.027535549081451106,71.02,926.1648762226105
53,0.029291539079725003,79.07,916.4213695526123
54,0.01993418930616121,79.75,927.4626080989838
55,0.026193428230083738,76.01,899.6408886909485
56,0.022786310056702123,78.39,903.316068649292
57,0.026291298484501402,78.91,946.8788123130798
58,0.024635553512780694,72.15,916.9565975666046
59,0.018738349685761973,73.01,939.5517334938049
60,0.02378871327953472,81.5,898.8729391098022
61,0.022004354702962164,79.85,923.9366674423218
62,0.02217555048987518,78.09,914.2653028964996
63,0.018715805833101333,81.56,927.4753239154816
64,0.021739081832044625,83.14,898.4341640472412
65,0.01991923303496517,79.66,1123.8931369781494
66,0.019833928826905326,79.05,1219.7999184131622
67,0.024227069039066983,77.69,1221.1889231204987
68,0.018770405960190185,78.15,1196.9736087322235
69,0.014159745783295239,82.27,1070.0186049938202
70,0.016342578457296607,78.38,923.4836950302124
71,0.019392644058871367,81.21,923.3404140472412
72,0.014968160326040033,83.04,891.8678495883942
73,0.015017417213774167,84.2,897.1366927623749
74,0.014970513200084853,82.78,892.7408850193024
75,0.013160618837102931,84.2,977.08598279953
76,0.013987743635007852,74.58,927.3632929325104
77,0.01629503573418563,78.27,887.599114894867
78,0.020571585165769974,82.26,933.1780638694763
79,0.013970522136403776,82.28,882.9464955329895
80,0.015874868179654174,80.98,909.3452348709106
81,0.013674756568239996,83.78,937.3732929229736
82,0.012345935273708876,79.78,828.106066942215
83,0.01887441676827751,81.05,955.3698554039001
84,0.01600764817419418,71.52,957.4026973247528
85,0.016350694728607486,80.28,891.3845660686493
86,0.012238726293917456,79.73,894.6230912208557
87,0.011334378843022701,81.47,956.8255314826965
88,0.014735820164916874,80.34,928.399787902832
89,0.01633470382944425,82.26,875.5731527805328
90,0.013442656467795359,82.48,929.8416862487793
91,0.014830143927434957,81.99,941.2423560619354
92,0.01345566064671895,78.93,864.7611448764801
93,0.014233190499825627,81.33,873.1055474281311
94,0.011005071926356462,84.7,878.8045446872711
95,0.013120938181074506,77.77,923.3204121589661
96,0.014341738057980013,80.74,908.1759209632874
97,0.010673673209928076,80.84,946.0665616989136
98,0.011252481623194772,83.06,887.9532001018524
99,0.00933806642697439,79.78,954.8777387142181
100,0.011709401259431844,79.92,897.9172303676605
101,0.015296024974645375,78.91,897.794086933136
102,0.01127702619448512,82.17,870.4115319252014
103,0.00987876849667329,82.32,940.2562963962555
104,0.011141742746584441,83.86,886.8637583255768
105,0.013941310256062229,82.71,877.0537362098694
106,0.010718263978225392,75.38,908.504228591919
107,0.013677323360049249,81.61,1114.1676683425903
108,0.010383803974867881,82.99,909.3175961971283
109,0.01203150984359604,75.43,1056.0288026332855
110,0.014015735329061505,75.84,1049.691759109497
111,0.01334465575870843,79.73,933.755854845047
112,0.012734874170450198,79.43,865.479198217392
113,0.011557044718922629,77.77,934.4427962303162
114,0.009691101865491322,82.61,919.8143625259399
115,0.008040607316614977,84.48,960.3778817653656
116,0.009348787476977602,79.91,922.5676190853119
117,0.007170554220182315,80.57,945.50670170784
118,0.011651450705517943,83.15,900.2341711521149
119,0.009106518079543728,80.57,919.3286774158478
120,0.007821372188333557,78.2,949.2236170768738
121,0.011308811802162635,80.43,900.3281948566437
122,0.009145853465336796,82.12,843.4647178649902
123,0.010386555845198648,83.05,797.580911397934
124,0.009268195728408755,83.71,817.4723424911499
125,0.006681443385073022,84.36,832.934330701828
126,0.007927184952022574,81.82,792.4712429046631
127,0.00814874670257756,80.52,808.3058035373688
128,0.0058549873818956625,84.4,802.7794382572174
129,0.007519298936465095,77.87,822.2945261001587
130,0.007777786938045808,81.55,819.3649060726166
131,0.00834632942367016,84.62,844.0376241207123
132,0.006763196214175408,81.08,841.592529296875
133,0.007464701754851552,83.57,591.6788702011108
134,0.0075418722287112746,81.49,880.9571132659912
135,0.006758568723162379,82.31,817.5692691802979
136,0.009241020302036242,83.11,857.0059175491333
137,0.0067596775501492954,84.43,870.8071916103363
138,0.0046486533170276905,84.43,811.6943113803864
139,0.005468722391336893,82.87,811.3427700996399
140,0.0057420568507751835,84.12,822.8192541599274
141,0.009298448911111201,84.96,828.4475297927856
142,0.006913720849682499,81.64,768.46892619133
143,0.006163550708020176,82.6,875.0037388801575
144,0.006491493890415713,80.51,880.1248021125793
145,0.007502755564902079,82.95,822.9906044006348
146,0.0061970297305664725,82.85,787.9750530719757
147,0.006785873561064873,76.14,922.186202287674
148,0.0076440119372727395,82.3,825.5787990093231
149,0.007165947297114452,82.73,804.1924660205841
150,0.006551120526690604,82.94,778.9918928146362
151,0.008592854041015136,84.4,788.2389390468597
152,0.005378179920958277,84.02,827.0231812000275
153,0.007857972046959521,82.93,832.3688604831696
154,0.005878036084739553,84.39,838.270076751709
155,0.0061713379791627585,82.83,835.5327429771423
156,0.007192503637896086,85.01,776.4989192485809
157,0.004513929787836904,81.95,866.3512015342712
158,0.006132070989412265,84.47,811.016806602478
159,0.004570604107373111,81.61,829.7310433387756
160,0.006930194713570268,83.34,820.4734818935394
161,0.005554515863967225,83.21,824.499383687973
162,0.007564951292358414,84.14,801.4208493232727
163,0.005579617066846978,82.89,827.1321592330933
164,0.006735931783826601,80.35,826.2346272468567
165,0.005777341347505424,84.13,793.8473591804504
166,0.005355740555542159,82.23,855.5829257965088
167,0.005002991621614175,81.98,796.9786183834076
168,0.00520460243116079,80.56,826.4230551719666
169,0.00534140591087488,81.53,813.6875932216644
170,0.005318140637635726,83.3,836.1564984321594
171,0.0057784005928011185,83.69,780.8993594646454
172,0.004081746843969047,83.36,799.6235716342926
173,0.003979414109249324,82.43,858.2463550567627
174,0.004860432265267141,83.53,824.8341355323792
175,0.005041681448322511,83.24,806.3543696403503
176,0.004733556029857708,82.54,821.0842049121857
177,0.005043140135244083,84.47,762.8876986503601
178,0.004821323844966684,81.49,841.4212167263031
179,0.005120216845799374,84.31,804.1775858402252
180,0.004905641515354809,83.86,860.1738324165344
181,0.004502346703806414,82.88,817.3970000743866
182,0.004127591395549456,79.4,800.5371589660645
183,0.0027461406476005576,82.31,808.7857623100281
184,0.00773994162114267,84.57,814.6736900806427
185,0.005667417327490077,84.25,817.9493250846863
186,0.0037329089780807345,84.9,793.8389058113098
187,0.0032183038438908526,83.29,822.0272343158722
188,0.005924509843465964,83.21,824.9349684715271
189,0.007035254487809057,79.14,820.8159830570221
190,0.008416103799882332,81.79,779.2711324691772
191,0.005390749435616873,82.67,781.590699672699
192,0.004871777673595093,84.14,814.6935102939606
193,0.0033097908296428674,84.22,815.9673790931702
194,0.006167514131831756,84.95,789.131706237793
195,0.003960016967880251,83.8,820.6486530303955
196,0.0033485564319041664,83.46,809.1551132202148
197,0.0034387644576653166,83.17,809.7273938655853
198,0.005527892381115429,84.24,786.5065634250641
199,0.0036493612937836643,83.28,820.3362348079681
200,0.003143604430488018,81.99,831.678320646286
