communication_round,Loss,Accuracy,Time
1,0.8707385600374143,28.98,256.3630666732788
2,0.6261030956623126,41.82,230.50238251686096
3,0.46086109890850857,55.31,255.75979614257812
4,0.32556062521498885,60.02,228.79850888252258
5,0.3090199054197503,63.14,281.611834526062
6,0.21787160159292718,64.31,250.6681764125824
7,0.2189615378635427,68.48,300.8854432106018
8,0.19659958172009154,71.19,302.308785200119
9,0.15302658237761463,71.15,261.61774587631226
10,0.14779389417026106,71.35,258.68813395500183
11,0.12799652923399152,74.4,295.4479031562805
12,0.15515974423153958,72.4,303.9120419025421
13,0.10699319407492136,77.47,264.4146525859833
14,0.10064693704369106,73.81,318.2396500110626
15,0.10525837551028457,75.24,279.0729629993439
16,0.09001082795805308,76.54,294.95207691192627
17,0.07636546770483857,77.32,444.2043538093567
18,0.08272418289419443,77.17,339.9137432575226
19,0.07786381472693943,74.88,269.67763900756836
20,0.06366860853165206,79.41,247.57165384292603
21,0.05176291194968606,77.19,373.24017000198364
22,0.06323504982051434,78.2,270.18607902526855
23,0.0635355250936895,74.18,330.28236389160156
24,0.06421021447744854,77.62,330.4470326900482
25,0.0552521208168795,79.18,310.54298663139343
26,0.06496004674299144,75.65,306.58101749420166
27,0.04899880845042013,78.44,316.1676228046417
28,0.06144249513919836,81.07,305.249550819397
29,0.04785412498086927,77.31,355.829261302948
30,0.0518966218920077,78.98,325.18881392478943
31,0.050387338812968904,82.2,245.97168111801147
32,0.04658361299499401,79.75,328.81357860565186
33,0.04014866426328999,72.56,304.7043697834015
34,0.03739516549236567,78.87,379.15113639831543
35,0.045066718623369625,81.18,374.3980691432953
36,0.04414287597334738,79.34,333.54137682914734
37,0.0301945483165021,81.26,357.8714952468872
38,0.034496224098073555,80.9,307.64579010009766
39,0.031422246982632795,79.84,346.8378014564514
40,0.03287379249613483,81.7,324.5976777076721
41,0.031641509899013515,82.54,397.23069620132446
42,0.038256850576164673,79.85,311.45777010917664
43,0.02626307668065341,82.35,325.63826632499695
44,0.032154100861184504,76.23,334.6838119029999
45,0.02242762310821336,82.57,331.60844349861145
46,0.02351838544336162,79.93,316.4660544395447
47,0.030153663216108406,78.77,315.98883390426636
48,0.022976906525080623,81.82,322.7629220485687
49,0.029978506377230534,73.06,363.72539615631104
50,0.03421762406636501,80.27,369.87292218208313
51,0.0245835496432493,72.13,339.8791675567627
52,0.02694724390706289,78.43,390.6643829345703
53,0.02758616330149849,82.83,349.63685035705566
54,0.02044311010127686,80.62,377.6839985847473
55,0.02239807947655851,78.27,314.93725085258484
56,0.022946136071154623,82.41,353.96652936935425
57,0.025200753948362454,80.09,360.148428440094
58,0.02481409297355044,80.66,335.93421602249146
59,0.018566551921061707,76.09,356.3295021057129
60,0.02415814206874963,84.24,308.89195942878723
61,0.018121650801547096,81.44,352.906042098999
62,0.022810401491439126,79.34,331.89649963378906
63,0.019826174436152824,82.27,381.45919251441956
64,0.02300333672359024,83.67,324.0867886543274
65,0.019458835710048354,82.2,353.7850856781006
66,0.01873965118874461,80.65,321.74864983558655
67,0.02382162581134554,82.6,389.7819221019745
68,0.016681503813467922,80.36,299.83215069770813
69,0.0158847391588806,81.38,364.84180665016174
70,0.016215415181266242,80.49,321.99926590919495
71,0.019410623181331268,81.65,366.80650186538696
72,0.017565255520877617,82.85,304.5938174724579
73,0.01786068345837573,84.82,335.4084565639496
74,0.013429730601494827,81.97,325.952921628952
75,0.01622853352838609,84.28,408.3010663986206
76,0.01407495087177502,77.65,391.18525767326355
77,0.0151794329912437,80.84,271.18678641319275
78,0.022387074915339485,84.15,322.30872654914856
79,0.013899987383731128,83.39,302.0315365791321
80,0.01655651107564014,81.82,347.328871011734
81,0.012740157689962242,83.9,332.52475595474243
82,0.013591573034514201,80.02,354.9250946044922
83,0.01848432795663348,83.48,321.418710231781
84,0.013029851471355389,79.76,425.99950766563416
85,0.01466494084985064,82.4,278.67025995254517
86,0.011102549753160306,82.07,338.4207355976105
87,0.01143153215245481,82.03,331.31558752059937
88,0.013906756985240427,80.61,388.479012966156
89,0.01611444491354619,84.41,275.3483741283417
90,0.011529097725969266,83.51,400.7306971549988
91,0.01446750962937306,82.89,350.332400560379
92,0.013694558482372884,81.97,305.2846767902374
93,0.011327881902453466,82.16,286.70511054992676
94,0.01123445876467841,85.4,352.7940866947174
95,0.013201908661974963,82.65,345.6581997871399
96,0.012130546528245712,82.99,363.62936663627625
97,0.008846241902843947,81.6,385.34623432159424
98,0.012852701438908529,83.13,312.31968426704407
99,0.00983523891693681,82.12,437.94990277290344
100,0.010971969968296752,82.37,321.1520104408264
101,0.01219382906775071,83.18,338.51471757888794
102,0.008550877871853515,82.9,292.1041874885559
103,0.010351090228356322,82.97,405.06453132629395
104,0.013039088791329572,84.69,317.8336157798767
105,0.010126142428078489,83.6,340.3017680644989
106,0.010424795542952807,79.45,308.31840896606445
107,0.010135887622587809,82.22,395.3465647697449
108,0.010141015128344113,84.9,330.0382821559906
109,0.012045371624249858,79.97,316.5014457702637
110,0.009773243610472852,81.52,310.83978629112244
111,0.010813777526083547,82.73,369.4245762825012
112,0.011379318232195054,80.16,297.57289361953735
113,0.00983219659949121,83.5,371.4423453807831
114,0.006014192839871113,84.12,367.1095840930939
115,0.006808556140874937,84.72,370.35943579673767
116,0.007823273567492642,81.08,418.280446767807
117,0.009269870914860147,81.73,319.2722821235657
118,0.011071967141371174,84.1,398.3180902004242
119,0.007812394556171639,82.51,326.25984716415405
120,0.00780396090657164,81.98,409.96299386024475
121,0.011134992954921303,83.66,347.04368233680725
122,0.007457509982597185,83.01,351.56259179115295
123,0.008934330459742026,84.58,293.79738569259644
124,0.007596729704094976,85.35,327.231454372406
125,0.005960189189906657,84.9,381.60914945602417
126,0.008047987966685483,83.24,300.4891288280487
127,0.0072244147665158475,83.32,347.6367540359497
128,0.0042312678972001114,84.47,329.61850905418396
129,0.007113356139608349,82.41,319.82538056373596
130,0.0059185051231604845,82.51,297.32200384140015
131,0.008150142648327762,84.37,365.8309202194214
132,0.006297243789709877,81.6,341.6297845840454
133,0.008048604141774818,83.66,343.1371076107025
134,0.005988256209595604,82.49,351.2302567958832
135,0.00707937847108202,83.85,308.0919146537781
136,0.00639333065654666,83.64,302.290922164917
137,0.00995413008857442,84.45,308.43504071235657
138,0.005165251959787993,84.79,324.21224093437195
