communication_round,Loss,Accuracy,Time
1,0.8707385600374143,28.98,285.1971986293793
2,0.6261030956623126,41.82,269.2784857749939
3,0.46086109890850857,55.31,272.4936192035675
4,0.32556062521498885,60.02,230.68511939048767
5,0.3090199054197503,63.14,283.6534175872803
6,0.21787160159292718,64.31,229.45006442070007
7,0.2189615378635427,68.48,275.8763611316681
8,0.19659958172009154,71.19,274.05922508239746
9,0.15302658237761463,71.15,257.0053904056549
10,0.14779389417026106,71.35,244.84239220619202
11,0.12799652923399152,76.93,542.5728440284729
12,0.14820454520723617,74.14,545.2230613231659
13,0.10024939093607803,78.09,521.8125936985016
14,0.09545986500379444,76.89,539.4930741786957
15,0.09951804205156063,77.05,496.07147216796875
16,0.08509804474617846,75.56,532.0049726963043
17,0.07440822529186289,78.44,563.8857712745667
18,0.0831516394119183,77.95,533.2766044139862
19,0.07389574553248296,76.13,509.8286521434784
20,0.06527973132389343,80.75,477.63562297821045
21,0.04649852109607315,77.78,558.5020387172699
22,0.06132652394255959,77.94,513.8295693397522
23,0.0641976454659129,76.67,532.6456604003906
24,0.06408953818822569,79.51,527.0513207912445
25,0.05505993497162278,79.5,533.4011132717133
26,0.06284110588673411,75.09,521.3042795658112
27,0.0508486117867076,78.87,547.949541091919
28,0.06148904332636799,82.09,525.1869506835938
29,0.04686640515677017,79.4,576.9142229557037
30,0.05041974057307275,79.78,535.5532639026642
31,0.05229639413964082,82.83,496.6540117263794
32,0.045061430187602614,79.93,542.2551119327545
33,0.04463050222021762,73.44,530.8097968101501
34,0.04134448255934101,80.34,590.4348900318146
35,0.04624807845582253,80.64,549.13427567482
36,0.0441849303743241,80.9,545.3982329368591
37,0.03380399989615508,81.54,542.1891498565674
38,0.03691210559150563,81.85,535.2600677013397
39,0.03185979464069977,80.57,529.3314669132233
40,0.035274056269013324,82.03,526.0387945175171
41,0.033017912792503025,84.0,579.9141862392426
42,0.033915989478465615,80.46,523.8483588695526
43,0.03079620797808173,82.55,509.400515794754
44,0.03356027045508226,77.43,539.8868250846863
45,0.02607978959722595,83.06,505.82963967323303
46,0.026417010576935414,81.15,536.3439724445343
47,0.03129185005959963,82.1,531.7130851745605
48,0.02550047109880914,82.29,534.140084028244
49,0.032733411079680655,77.82,572.680762052536
50,0.03744621496165047,80.18,557.813161611557
51,0.027978020733732584,74.85,547.8505856990814
52,0.0309571598120919,80.53,564.969279050827
53,0.028894075096246596,82.83,549.6533706188202
54,0.023380250717874473,81.74,560.1287508010864
55,0.027218310131539653,78.58,533.471296787262
56,0.02684765925420019,82.45,555.3115038871765
57,0.0284424096336366,79.7,584.779643535614
58,0.025317873028762657,81.45,535.8948788642883
59,0.02139996362450559,76.7,557.7894847393036
60,0.026552345149123475,84.48,514.7438507080078
61,0.022797001796309363,82.38,552.8356132507324
62,0.022824433062359893,81.77,537.6684608459473
63,0.022814049493237717,82.83,553.8752994537354
64,0.02193612645395968,84.4,532.9831252098083
65,0.023534707352251,82.76,537.9615099430084
66,0.020852378676328186,83.13,552.3156247138977
67,0.02701359353174932,83.5,573.6610832214355
